,headstart,hashrate,role
0,-0.19664847437986932,0.0,loser
1,-0.7855458049051378,0.0,winner
2,0.5315239022562535,0.2401644157369348,loser
3,0.08973288822583858,0.0,winner
4,0.31133328277714467,0.2401644157369348,loser
5,2.9789457213370323,0.2401644157369348,winner
6,-1.3531750883339124,0.2401644157369348,loser
7,-1.4495835248192181,0.2401644157369348,winner
8,2.8394717290536873,0.2201996476805637,loser
9,1.3399582364009939,0.2201996476805637,winner
10,-1.9021636377989593,0.1340281855549031,loser
11,0.08878194810967477,0.2201996476805637,winner
12,-0.48441904192158036,0.2201996476805637,loser
13,-0.758830316355843,0.2401644157369348,winner
14,0.6024595004738993,0.2401644157369348,loser
15,-0.12261981036228708,0.2401644157369348,winner
16,-0.8673257822806233,0.2401644157369348,loser
17,-0.3146907525654108,0.2201996476805637,winner
18,0.9464959869859939,0.1340281855549031,winner
19,-1.0131748276123254,0.1340281855549031,loser
20,0.7411616181239982,0.1340281855549031,loser
21,-0.3535858148527209,0.1340281855549031,winner
22,0.22133604010228924,0.2401644157369348,winner
23,-0.3993238911679722,0.2201996476805637,loser
24,0.42719811055995227,0.2401644157369348,winner
25,-0.019233486346867945,0.1340281855549031,loser
26,0.07848071568459503,0.2401644157369348,winner
27,-0.9768927312703819,0.1340281855549031,loser
28,0.8892151222617048,0.2201996476805637,winner
29,-0.6903175778596193,0.0946858485026423,loser
30,0.6506319060556616,0.2401644157369348,winner
31,-1.5267234601758406,0.1340281855549031,loser
32,-0.2203342411323641,0.1340281855549031,winner
33,2.221175764915052,0.2401644157369348,loser
34,0.5717525361406497,0.1340281855549031,winner
35,0.9977782024613773,0.1340281855549031,loser
36,-0.8547899605092022,0.2401644157369348,winner
37,0.34294804919874267,0.2401644157369348,loser
38,-0.687898093771657,0.1340281855549031,winner
39,0.8793292542591165,0.1340281855549031,loser
40,-1.6655799074459638,0.0946858485026423,winner
41,0.19683818905032813,0.1340281855549031,loser
42,0.9518597333875252,0.0,winner
43,-0.665645792478996,0.2401644157369348,loser
44,2.5592107142004425,0.2201996476805637,winner
45,-1.6294376708037217,0.1340281855549031,loser
46,0.8840937007921514,0.2401644157369348,winner
47,-1.007620819279948,0.0946858485026423,loser
48,0.13297426571413395,0.2401644157369348,winner
49,-0.5142015700257494,0.2401644157369348,loser
50,0.6990305098907763,0.0,winner
51,-1.2112641669913005,0.1340281855549031,loser
52,-0.19042807634538184,0.2401644157369348,winner
53,1.04817425187733,0.0,winner
54,-1.044974110253582,0.0946858485026423,loser
55,1.3276242550049604,0.0,winner
56,-1.9789202903587628,0.0946858485026423,loser
57,-0.5503830587005782,0.2401644157369348,winner
58,0.09841154119790163,0.2401644157369348,loser
59,0.6021303280099262,0.2401644157369348,winner
60,-1.0584294478615077,0.2401644157369348,loser
61,0.722893168947772,0.2201996476805637,winner
62,-0.5246685988990645,0.0946858485026423,loser
63,-0.6425601136803323,0.0946858485026423,winner
64,0.6860303844635454,0.1340281855549031,loser
65,-0.8283508476317369,0.2201996476805637,winner
66,0.7299919863292395,0.1340281855549031,loser
67,-0.2167608068514355,0.2201996476805637,loser
68,-1.6936943023392899,0.2401644157369348,winner
69,0.4610458707113476,0.2401644157369348,winner
70,-1.7358251947199559,0.2401644157369348,loser
71,0.31174713613761007,0.2201996476805637,winner
72,0.9318267305678289,0.1340281855549031,winner
73,-1.1395601508018955,0.2201996476805637,loser
74,0.05664745507807778,0.2201996476805637,winner
75,-0.9519839498562048,0.2401644157369348,loser
76,0.20373238884651368,0.2401644157369348,winner
77,0.8875059939783172,0.1340281855549031,loser
78,-0.30452490651787945,0.2401644157369348,winner
79,-0.11711246668231068,0.1340281855549031,loser
80,0.9336134563725913,0.2201996476805637,winner
81,-1.5684909502926878,0.0946858485026423,loser
82,-0.7350330541674346,0.0946858485026423,winner
83,0.7961876717400942,0.1340281855549031,loser
84,-0.8704076284006677,0.0,winner
85,-0.7581647875339246,0.2201996476805637,loser
86,0.22837973543506052,0.0,winner
87,-1.240411429708486,0.0946858485026423,winner
88,1.0816666230916925,0.2401644157369348,loser
89,-2.418786913501613,0.0946858485026423,loser
90,1.1448590685720812,0.2401644157369348,winner
91,-0.5055837956443727,0.0946858485026423,loser
92,-0.7621509753476039,0.1340281855549031,loser
93,0.20359202304611346,0.2201996476805637,winner
94,-0.44670663004773314,0.1340281855549031,winner
95,0.10354276837763399,0.0,loser
96,1.4363650599865514,0.1340281855549031,winner
97,-2.9016230156083616,0.0946858485026423,loser
98,-0.13150166765885807,0.2201996476805637,winner
99,-0.7835793571817051,0.2201996476805637,loser
100,1.6028499561048322,0.2401644157369348,winner
101,-0.8475889400410108,0.0946858485026423,loser
102,-1.8277833635260958,0.2201996476805637,winner
103,1.171641702659783,0.2401644157369348,loser
104,1.4429359636434205,0.2401644157369348,winner
105,-1.1535442784219334,0.1340281855549031,loser
106,-0.2675332404898021,0.2401644157369348,winner
107,0.9837466752464739,0.2401644157369348,loser
108,-0.23087323528407744,0.2401644157369348,winner
109,-0.5886111676696244,0.2201996476805637,loser
110,-0.6982462092098369,0.2401644157369348,winner
111,0.17225527541388375,0.0,winner
112,-0.8168960251234665,0.2401644157369348,loser
113,0.3013215925342656,0.2201996476805637,winner
114,-0.16753994341705014,0.2201996476805637,loser
115,0.39202077800504553,0.2401644157369348,winner
116,-0.2786722080304187,0.2201996476805637,loser
117,3.8355876764424113,0.2201996476805637,winner
