hash,publish_time,peers,timestamp,diff
0000000000000000000bfc7d9e6da4a434222ab9dda2238680e75bbcb97828f1,1577868214899,9389,1577868187.0,27.8989999294281
00000000000000000006f69d3eb55b182a0485ae75388070d70d1a1e8a625b52,1577866072349,9362,1577866053.0,19.348999977111816
00000000000000000010aacfc9e7fc2d4908191cfa553de1ac56fa37e580ae78,1577867857655,9363,1577867859.0,-1.3450000286102295
00000000000000000014302411a2dce19fd2f3dc92864ed6afdd638473565e3c,1577865929380,9324,1577865898.0,31.380000114440918
0000000000000000000067c2b9304f6bdded7d6c1f58cc0ec089617d67445a56,1577872351441,9402,1577872348.0,3.440999984741211
0000000000000000000e7027f650de1e79d76cbe93f385d8032f7766df080f6f,1577872299947,9354,1577872276.0,23.94700002670288
000000000000000000024b77a560c63a085cb0fc61fbf620cddc5b4a082ab5ed,1577871916179,9378,1577871890.0,26.17899990081787
000000000000000000065c4706094b79c798144b7b3f095912ce9645af1c1ef0,1577871502810,9398,1577871425.0,77.80999994277954
000000000000000000114391d65ff0c7b40b967b6fd5c9ffb622a45ac5e979ed,1577871356055,9306,1577871343.0,13.055000066757202
000000000000000000060f289a5f770ecf88adad981af27536d32c43dd47c743,1577875921929,9402,1577875922.0,-0.0710000991821289
00000000000000000010067bc6f2fb532b4bd28a9c10d50a93dc6ab1404aac38,1577875410709,9310,1577875385.0,25.70900011062622
0000000000000000000926191ab52bd7518c95b4f32ec2548cea063f3ecde588,1577874677369,9394,1577874668.0,9.36899995803833
00000000000000000011611d40c4c0b09ab1519e1c2268ded3ca54f703e5ace9,1577876289818,9411,1577876194.0,95.8180000782013
00000000000000000005a6156a715c1a693a3ecb19c462c79fd7b8e1e3024ccc,1577874274608,9392,1577874264.0,10.608000040054321
0000000000000000000dc3cbe4b80a5e329f5aa0fb43630b9b7d121128dc1d10,1577873957306,9368,1577873948.0,9.305999994277954
00000000000000000005503024df4519bd6fd801f800e2735319777fa002f00e,1577873885069,9349,1577873855.0,30.069000005722046
0000000000000000000a3b90d1cb0fb1da843d56290b083b6ea582abba9a6d61,1577875567113,9390,1577875556.0,11.11299991607666
0000000000000000001575b863ff0f7967609bfab1df98397eb05428ccb802d8,1577878229019,9379,1577878209.0,20.01900005340576
00000000000000000005bea58cefb96e287e562379775742b0cfa45a49181285,1577878078868,9350,1577878099.0,-20.131999969482422
0000000000000000000bc264b270ca467d26905654cc928090806eff6d548978,1577879939565,9410,1577879942.0,-2.434999942779541
00000000000000000001ec08c11cbc17809af6ce3af88ca394f3a43190b3ebda,1577878672701,9422,1577878570.0,102.70099997520447
